iter	RMSE
1846	0.2245690856
1847	0.224381478
1848	0.2243146934
1849	0.2241649108
1850	0.2240601524
1851	0.223894867
1852	0.2237997277
1853	0.2237325775
1854	0.2235746244
1855	0.2234607627
1856	0.2233601974
1857	0.2232503655
1858	0.2230617907
1859	0.2229478197
1860	0.2228233742
1861	0.2226703652
1862	0.2225527224
1863	0.2223569246
1864	0.2222290691
1865	0.2221433059
1866	0.2220376155
1867	0.2218819659
1868	0.2217415823
1869	0.2216248793
1870	0.2215138087
1871	0.221417911
1872	0.2213617635
1873	0.2211637133
1874	0.2210481067
1875	0.2208686513
1876	0.2207509762
1877	0.2206339003
1878	0.220529252
1879	0.2204484224
1880	0.2203076197
1881	0.220201513
1882	0.2201162515
1883	0.2199210432
1884	0.2198490292
1885	0.2197057416
1886	0.2196165836
1887	0.2195502737
1888	0.2194244697
1889	0.2192943222
1890	0.2192197221
1891	0.2191194283
1892	0.219003768
1893	0.2187995972
1894	0.2186859769
1895	0.2185883353
1896	0.2184436334
1897	0.2182427219
1898	0.218102905
1899	0.2180941223
1900	0.2179330159
1901	0.2177178913
1902	0.217623348
1903	0.2174649702
1904	0.2173461894
1905	0.2171851345
1906	0.2170266135
1907	0.2169630143
1908	0.2168140412
1909	0.2166466216
1910	0.2164843201
1911	0.2163572424
1912	0.2162033219
1913	0.2161166831
1914	0.2159713839
1915	0.2158708029
1916	0.2157234285
1917	0.2156449583
1918	0.2155291115
1919	0.2153547406
1920	0.2152191561
1921	0.2152048497
1922	0.2151438136
1923	0.2150245744
1924	0.2149321344
1925	0.2148248158
1926	0.2146207071
1927	0.2144222651
1928	0.2142980952
1929	0.2142236437
1930	0.2140953055
1931	0.2139210224
1932	0.2137535532
1933	0.213644559
1934	0.2135259963
1935	0.2133617888
1936	0.2132771866
1937	0.2131388495
1938	0.2129962918
1939	0.2128552827
1940	0.21274622
1941	0.2126093171
1942	0.2124572931
1943	0.2123578176
1944	0.2122679087
1945	0.2121688004
1946	0.2120212732
1947	0.2119113719
1948	0.2118118778
1949	0.2116622695
1950	0.2115664598
1951	0.2114332144
1952	0.2113268067
1953	0.2112146841
1954	0.2111190633
1955	0.2109778401
1956	0.2109031629
1957	0.2107279912
1958	0.2105670316
1959	0.2104470736
1960	0.210292432
1961	0.2101932277
1962	0.2101126213
1963	0.2100286301
1964	0.2099574346
1965	0.2098269439
1966	0.2097181541
1967	0.2095794876
1968	0.2094949543
1969	0.2093553351
1970	0.2093336312
1971	0.2092589854
1972	0.2091869544
1973	0.2091034617
1974	0.2090921783
1975	0.208968511
1976	0.2088968409
1977	0.2088267832
1978	0.2087224797
1979	0.2086289473
1980	0.2084950794
1981	0.2083210103
1982	0.2081755842
1983	0.208024482
1984	0.2078813513
1985	0.2077446894
1986	0.2076367228
1987	0.2075379315
1988	0.2073967092
1989	0.2073094762
1990	0.2071164956
1991	0.2070547319
1992	0.2069641976
